brand,model,model_year,milage,fuel_type,engine,ext_col,int_col,accident,price
Ford,Utility Police Interceptor,2013,51000,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,Black,Black,True,10300
Hyundai,Palisade SEL,2021,34742,Gasoline,3.8L V6 24V GDI DOHC,Moonlight Cloud,Gray,True,38005
Lexus,RX 350 RX,2022,22372,Gasoline,3.5 Liter DOHC,Blue,Black,True,54598
INFINITI,Q50 Hybrid Sport,2015,88900,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Black,Black,True,15500
Audi,Q3 45 S,2021,9835,Gasoline,2.0L I4 16V GDI DOHC Turbo,Glacier White Metallic,Black,True,34999
Acura,ILX 2.4L,2016,136397,Gasoline,2.4 Liter,Silver,Ebony.,True,14798
Audi,S3 2.0T Premium,2017,84000,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Blue,Black,True,31000
BMW,740 iL,2001,242000,Gasoline,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Green,Green,True,7300
Lexus,RC 350 F,2021,23436,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,41927
Land,Rover Range Rover,2021,27608,Gasoline,V6,Fuji White,Pimento / Ebony,True,73897
Aston,Martin DBS Superleggera,2019,22770,Gasoline,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,Silver,Black,True,184606
Toyota,Supra 3.0 Premium,2021,12500,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Yellow,Black,True,53500
Lincoln,Aviator Reserve AWD,2022,18196,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Brown,True,62000
Jaguar,F-TYPE,2020,15903,Gasoline,2.0 Liter Supercharged,Silver,Black,True,47998
Land,Rover LR4 HSE,2013,79800,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,White,Black,True,29990
Mercedes-Benz,Metris Base,2021,1685,Gasoline,2.0L I4 16V GDI DOHC Turbo,Gray,White,True,250000
Dodge,Challenger SXT,2013,61074,Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Black,Gray,True,16800
Nissan,350Z Enthusiast,2003,74000,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Purple,–,True,11000
