fuel_type,manufacturing_year,vehicle_age,pricein_lakhs
Petrol,2017.0,8.0,63.75
Petrol,2020.0,5.0,8.99
Diesel,2018.0,7.0,23.75
Petrol,2019.0,6.0,13.56
Petrol,2019.0,6.0,24.0
Petrol,2017.0,8.0,5.45
Petrol,2018.0,7.0,5.12
Petrol,2018.0,7.0,9.3
Diesel,2015.0,10.0,42.0
Petrol,2019.0,6.0,8.02
Petrol,2020.0,5.0,10.95
Petrol,2021.0,4.0,8.99
Diesel,2014.0,11.0,7.45
Petrol,2021.0,4.0,10.95
Petrol,2019.0,6.0,5.78
Petrol,2022.0,3.0,8.95
Diesel,2014.0,11.0,8.5
Diesel,2018.0,7.0,23.5
Petrol,2019.0,6.0,7.95
Petrol,2020.0,5.0,18.95
Diesel,2021.0,4.0,35.0
Petrol,2010.0,15.0,2.09
Petrol,2015.0,10.0,6.25
Petrol,2011.0,14.0,2.12
Diesel,2015.0,10.0,20.0
Petrol,2017.0,8.0,8.35
Petrol,2017.0,8.0,5.03
Petrol,2018.0,7.0,6.95
Diesel,2015.0,10.0,16.0
Petrol,2020.0,5.0,15.22
Diesel,2018.0,7.0,26.95
Petrol,2019.0,6.0,6.7
Diesel,2018.0,7.0,10.75
Diesel,2019.0,6.0,25.5
Petrol,2022.0,3.0,8.38
Diesel,2018.0,7.0,10.9
Petrol,2017.0,8.0,3.95
CNG,2022.0,3.0,7.25
Diesel,2017.0,8.0,4.75
Petrol,2010.0,15.0,11.95
Diesel,2021.0,4.0,35.0
Petrol,2010.0,15.0,2.09
Petrol,2015.0,10.0,6.25
Petrol,2011.0,14.0,2.12
Diesel,2015.0,10.0,20.0
Petrol,2017.0,8.0,8.35
Petrol,2017.0,8.0,5.03
Petrol,2018.0,7.0,6.95
Diesel,2015.0,10.0,16.0
Petrol,2020.0,5.0,15.22
Diesel,2018.0,7.0,26.95
Petrol,2019.0,6.0,6.7
Diesel,2018.0,7.0,10.75
Diesel,2019.0,6.0,25.5
Petrol,2022.0,3.0,8.38
Diesel,2018.0,7.0,10.9
Petrol,2017.0,8.0,3.95
